Symbol,Side,Qty,Price,Close Price,Stop Loss,Take Profit,Open Time,Close Time,Fee,Setup,Timeframe,Order ID
XRPUSDT,BUY,6993.01,0.6718,0.6596,0.6575,0.6956,2026-05-18 22:15:00,2026-05-18 22:40:00,5.59,Liquidity sweep,5m,90210519
ETHUSDT,BUY,3.0506,3281.58,3328.12,3248.8,3363.09,2026-05-19 20:00:00,2026-05-19 22:25:00,12.1,Order block,4h,90210557
SOLUSDT,BUY,57.8,149.33,147.63,147.6,153.1,2026-05-20 20:30:00,2026-05-20 21:30:00,10.3,BOS retest,4h,90210573
SOLUSDT,BUY,57.14,159.01,157.39,157.26,163.07,2026-05-20 16:05:00,2026-05-20 17:05:00,10.85,Breaker,5m,90210609
BTCUSDT,SELL,0.1578,62736.36,63380.08,63370.19,61423.69,2026-05-21 07:00:00,2026-05-21 07:25:00,11.94,Order block,1h,90210613
BTCUSDT,BUY,0.1422,65148.97,64528.31,64445.63,67064.82,2026-05-21 22:30:00,2026-05-21 23:30:00,11.06,BOS retest,1h,90210647
SOLUSDT,BUY,53.76,155.11,153.45,153.25,160.95,2026-05-22 07:45:00,2026-05-22 19:45:00,9.95,Order block,15m,90210661
SOLUSDT,SELL,96.15,142.74,143.63,143.78,140.02,2026-05-22 23:30:00,2026-05-22 23:55:00,16.52,Order block,1h,90210667
ETHUSDT,BUY,2.8571,3542.73,3594.5,3507.73,3623.58,2026-05-22 07:05:00,2026-05-22 09:30:00,12.24,FVG,15m,90210682
SOLUSDT,SELL,39.06,145.95,141.3,148.51,138.07,2026-05-22 05:05:00,2026-05-22 06:05:00,6.73,FVG,5m,90210703
ETHUSDT,SELL,4.2427,3371.66,3395.18,3395.23,3321.91,2026-05-23 05:45:00,2026-05-23 10:45:00,17.23,Liquidity sweep,5m,90210721
BTCUSDT,BUY,0.2313,62252.02,63025.66,61819.72,63366.62,2026-05-23 15:05:00,2026-05-23 16:05:00,17.39,FVG,5m,90210747
ETHUSDT,BUY,2.6392,3214.9,3179.69,3177.01,3334.6,2026-05-23 21:00:00,2026-05-24 02:00:00,10.13,Order block,5m,90210757
BTCUSDT,BUY,0.2502,59793.01,59435.54,59393.26,60799.86,2026-05-23 20:05:00,2026-05-23 21:05:00,17.9,BOS retest,4h,90210764
BTCUSDT,SELL,0.1383,58692.21,57461.04,59415.45,57239.56,2026-05-24 22:45:00,2026-05-25 10:45:00,9.64,FVG,5m,90210771
ETHUSDT,BUY,3.7411,3297.51,3273.61,3270.78,3380.04,2026-05-24 03:30:00,2026-05-24 08:30:00,14.75,Breaker,5m,90210774
BTCUSDT,BUY,0.1808,56105.86,57057.47,55552.75,57086.25,2026-05-25 15:00:00,2026-05-25 16:00:00,12.28,FVG,1h,90210785
XRPUSDT,BUY,19230.77,0.6186,0.6289,0.6134,0.63,2026-05-26 22:30:00,2026-05-26 22:55:00,14.39,FVG,5m,90210810
ETHUSDT,SELL,5.6529,3285.93,3245.16,3303.62,3240.5,2026-05-26 06:20:00,2026-05-26 06:45:00,22.15,FVG,1h,90210815
XRPUSDT,SELL,16129.03,0.65,0.6417,0.6562,0.6331,2026-05-26 13:30:00,2026-05-26 18:30:00,12.5,FVG,1h,90210826
LINKUSDT,BUY,666.67,18.31,18.17,18.16,18.62,2026-05-27 20:05:00,2026-05-27 20:30:00,14.59,Liquidity sweep,15m,90210853
ETHUSDT,SELL,2.2543,3107.77,3153.06,3152.13,2972.55,2026-05-27 16:05:00,2026-05-27 18:30:00,8.47,Liquidity sweep,5m,90210866
XRPUSDT,SELL,10638.3,0.612,0.6217,0.6214,0.5837,2026-05-27 12:30:00,2026-05-27 13:30:00,7.87,Breaker,5m,90210869
ETHUSDT,BUY,1.9716,3168.9,3118.82,3118.18,3319.6,2026-05-28 15:20:00,2026-05-28 17:45:00,7.44,Order block,5m,90210880
SOLUSDT,BUY,91.74,154.22,153.29,153.13,157.45,2026-05-28 15:15:00,2026-05-28 17:40:00,16.93,Order block,4h,90210897
BTCUSDT,SELL,0.2822,55810.55,56140.28,56164.89,54881.44,2026-05-29 12:30:00,2026-05-29 12:55:00,18.96,BOS retest,15m,90210914
BTCUSDT,SELL,0.1984,58466.87,59574.25,58970.94,57276.64,2026-05-29 19:45:00,2026-05-29 22:10:00,14.05,BOS retest,4h,90210950
ETHUSDT,BUY,4.3197,3149.45,3192.62,3126.3,3195.95,2026-05-29 16:05:00,2026-05-29 18:30:00,16.44,Order block,5m,90210987
BTCUSDT,BUY,0.1987,57819.14,57349.29,57315.81,59258.99,2026-05-29 18:00:00,2026-05-29 20:25:00,13.73,FVG,15m,90210995
LINKUSDT,BUY,294.12,17.4,18.47,17.06,18.23,2026-05-30 06:30:00,2026-05-30 07:30:00,6.33,Liquidity sweep,5m,90211018
BTCUSDT,BUY,0.3178,58435.54,59360.02,58120.86,59354.28,2026-05-30 05:15:00,2026-05-30 07:40:00,22.46,Liquidity sweep,4h,90211031
ETHUSDT,SELL,3.0395,3547.63,3580.26,3580.53,3480.59,2026-05-31 19:05:00,2026-05-31 19:30:00,13.0,FVG,1h,90211064
ETHUSDT,SELL,2.1272,3258.06,3301.63,3305.07,3172.41,2026-05-31 14:20:00,2026-05-31 16:45:00,8.37,Liquidity sweep,1h,90211092
ETHUSDT,BUY,6.2657,3302.04,3339.6,3286.08,3328.28,2026-05-31 18:15:00,2026-05-31 19:15:00,24.97,Liquidity sweep,5m,90211113
BTCUSDT,BUY,0.4029,59191.15,58937.76,58942.94,59813.07,2026-06-01 03:15:00,2026-06-01 03:40:00,28.56,BOS retest,1h,90211125
XRPUSDT,SELL,20833.33,0.613,0.5977,0.6178,0.6047,2026-06-01 12:20:00,2026-06-01 13:20:00,15.13,Liquidity sweep,15m,90211148
LINKUSDT,SELL,263.16,17.96,16.93,18.34,17.28,2026-06-01 14:05:00,2026-06-01 14:30:00,5.51,Order block,5m,90211183
ETHUSDT,SELL,2.2099,3134.61,3069.14,3179.86,3009.39,2026-06-01 18:05:00,2026-06-01 18:30:00,8.23,Order block,15m,90211202
ETHUSDT,SELL,5.2466,3192.11,3162.92,3211.17,3138.97,2026-06-02 21:30:00,2026-06-02 21:55:00,20.01,Order block,15m,90211225
BTCUSDT,BUY,0.3776,56571.95,56329.66,56307.13,57354.93,2026-06-02 06:30:00,2026-06-02 08:55:00,25.58,Liquidity sweep,5m,90211231
BTCUSDT,BUY,0.32,65843.93,66626.14,65531.47,66638.65,2026-06-03 13:00:00,2026-06-03 18:00:00,25.43,FVG,4h,90211256
XRPUSDT,BUY,13333.33,0.6523,0.665,0.6448,0.6702,2026-06-03 05:20:00,2026-06-03 05:45:00,10.54,Liquidity sweep,4h,90211262
LINKUSDT,BUY,277.78,18.4,18.09,18.04,19.25,2026-06-03 04:15:00,2026-06-03 16:15:00,6.08,FVG,4h,90211281
BTCUSDT,SELL,0.2991,59277.59,59624.69,59611.98,58691.06,2026-06-03 23:00:00,2026-06-04 04:00:00,21.34,Order block,5m,90211315
LINKUSDT,BUY,500.0,15.41,15.23,15.21,15.75,2026-06-04 23:00:00,2026-06-04 23:25:00,9.19,FVG,4h,90211353
SOLUSDT,BUY,27.25,174.16,182.83,170.49,183.22,2026-06-04 23:30:00,2026-06-05 01:55:00,5.84,BOS retest,1h,90211357
BTCUSDT,SELL,0.1535,65576.94,64444.51,66228.24,64395.91,2026-06-05 15:00:00,2026-06-05 16:00:00,11.97,Order block,15m,90211392
ETHUSDT,SELL,2.574,3187.31,3108.92,3226.16,3118.74,2026-06-05 06:15:00,2026-06-05 07:15:00,9.72,Order block,5m,90211429
LINKUSDT,SELL,666.67,16.77,16.92,16.92,16.53,2026-06-05 06:00:00,2026-06-05 06:25:00,13.48,Liquidity sweep,15m,90211448
ETHUSDT,BUY,2.124,3231.59,3320.76,3184.51,3344.74,2026-06-07 14:45:00,2026-06-07 15:45:00,8.35,Breaker,1h,90211473
SOLUSDT,BUY,56.5,156.36,159.19,154.59,161.04,2026-06-07 22:05:00,2026-06-07 22:30:00,10.7,Order block,4h,90211512
SOLUSDT,BUY,36.5,143.25,140.75,140.51,148.0,2026-06-07 21:05:00,2026-06-07 22:05:00,6.22,FVG,1h,90211544
XRPUSDT,SELL,6711.41,0.6688,0.6823,0.6837,0.63,2026-06-07 23:05:00,2026-06-08 00:05:00,5.44,Liquidity sweep,1h,90211547
SOLUSDT,SELL,40.49,149.98,152.12,152.45,145.92,2026-06-08 18:30:00,2026-06-08 18:55:00,7.34,BOS retest,5m,90211553
ETHUSDT,BUY,3.667,3030.18,3005.91,3002.91,3104.15,2026-06-08 14:20:00,2026-06-08 15:20:00,13.28,FVG,1h,90211574
ETHUSDT,BUY,1.8939,3600.97,3553.72,3548.17,3712.83,2026-06-08 16:20:00,2026-06-09 04:20:00,8.13,BOS retest,4h,90211594
BTCUSDT,SELL,0.2566,62342.82,62730.75,62732.58,61292.79,2026-06-09 18:30:00,2026-06-09 20:55:00,19.26,Order block,15m,90211605
BTCUSDT,SELL,0.2841,64507.55,64833.18,64859.51,63644.1,2026-06-09 18:15:00,2026-06-09 18:40:00,22.05,Order block,15m,90211614
BTCUSDT,SELL,0.2487,61837.71,62208.72,62239.81,60699.28,2026-06-10 03:20:00,2026-06-10 04:20:00,18.51,Order block,15m,90211623
BTCUSDT,BUY,0.1687,61612.22,63049.31,61019.35,62736.63,2026-06-10 19:20:00,2026-06-10 19:45:00,12.62,FVG,1h,90211636
LINKUSDT,SELL,526.32,17.33,17.07,17.52,16.87,2026-06-10 23:15:00,2026-06-10 23:40:00,10.86,FVG,5m,90211651
BTCUSDT,BUY,0.379,58765.79,58235.55,58501.92,59523.74,2026-06-10 04:00:00,2026-06-10 09:00:00,26.61,FVG,15m,90211672
ETHUSDT,SELL,2.5069,3457.8,3403.35,3497.69,3365.84,2026-06-11 12:20:00,2026-06-12 00:20:00,10.32,Breaker,4h,90211685
ETHUSDT,BUY,1.9497,3192.89,3142.31,3141.6,3288.88,2026-06-11 15:05:00,2026-06-11 17:30:00,7.41,Order block,4h,90211700
ETHUSDT,SELL,2.4108,3169.61,3076.7,3211.09,3089.58,2026-06-12 15:20:00,2026-06-12 16:20:00,9.04,BOS retest,4h,90211735
ETHUSDT,SELL,2.116,2998.11,3041.77,3045.37,2911.62,2026-06-13 12:00:00,2026-06-13 12:25:00,7.67,Breaker,5m,90211766
SOLUSDT,SELL,34.6,156.86,152.43,159.75,149.49,2026-06-13 23:15:00,2026-06-14 00:15:00,6.42,FVG,15m,90211803
XRPUSDT,SELL,8620.69,0.6993,0.6684,0.7109,0.6674,2026-06-14 13:45:00,2026-06-14 16:10:00,7.07,Liquidity sweep,15m,90211826
BTCUSDT,SELL,0.1558,58534.36,59201.71,59176.24,57202.63,2026-06-14 05:20:00,2026-06-14 06:20:00,11.01,BOS retest,5m,90211830
BTCUSDT,SELL,0.2962,68853.81,68284.22,69191.42,68087.52,2026-06-14 14:05:00,2026-06-14 19:05:00,24.37,FVG,15m,90211863
ETHUSDT,BUY,4.2123,3238.52,3214.46,3214.78,3305.25,2026-06-15 15:00:00,2026-06-15 16:00:00,16.31,FVG,4h,90211874
LINKUSDT,BUY,500.0,17.06,16.88,16.86,17.39,2026-06-15 23:15:00,2026-06-15 23:40:00,10.18,FVG,1h,90211895
ETHUSDT,BUY,2.2841,3194.71,3149.86,3150.93,3317.58,2026-06-15 07:30:00,2026-06-15 08:30:00,8.69,Breaker,15m,90211920
ETHUSDT,BUY,3.1348,3434.39,3401.12,3402.49,3527.42,2026-06-16 22:00:00,2026-06-16 22:25:00,12.86,FVG,15m,90211933
ETHUSDT,BUY,3.1928,3304.7,3277.0,3273.38,3398.51,2026-06-16 13:45:00,2026-06-16 14:10:00,12.61,Liquidity sweep,5m,90211942
SOLUSDT,SELL,63.29,169.54,170.98,171.12,166.87,2026-06-16 21:00:00,2026-06-17 02:00:00,12.93,Liquidity sweep,5m,90211972
LINKUSDT,BUY,434.78,16.97,16.74,16.74,17.69,2026-06-16 12:30:00,2026-06-16 17:30:00,8.79,Breaker,4h,90212002
XRPUSDT,SELL,10000.0,0.6997,0.7095,0.7097,0.6725,2026-06-17 13:45:00,2026-06-17 14:10:00,8.46,BOS retest,5m,90212016
BTCUSDT,SELL,0.1558,61701.03,62314.25,62343.08,60478.44,2026-06-18 19:05:00,2026-06-18 21:30:00,11.59,BOS retest,1h,90212019
BTCUSDT,SELL,0.2007,70513.93,70956.41,71012.09,68940.13,2026-06-19 13:45:00,2026-06-19 14:45:00,17.04,Liquidity sweep,1h,90212048
ETHUSDT,BUY,4.6425,3108.7,3089.14,3087.16,3174.01,2026-06-19 19:05:00,2026-06-20 07:05:00,17.26,Breaker,4h,90212051
XRPUSDT,BUY,11627.91,0.6656,0.6568,0.657,0.6809,2026-06-19 15:15:00,2026-06-19 20:15:00,9.23,Breaker,4h,90212069
ETHUSDT,BUY,3.3223,3491.98,3466.22,3461.88,3584.52,2026-06-21 21:15:00,2026-06-21 23:40:00,13.87,Liquidity sweep,4h,90212096
BTCUSDT,BUY,0.1546,58867.78,58223.08,58221.04,60865.09,2026-06-21 06:05:00,2026-06-21 07:05:00,10.86,Liquidity sweep,1h,90212115
ETHUSDT,SELL,2.9455,3297.5,3328.97,3331.45,3210.28,2026-06-21 06:05:00,2026-06-21 11:05:00,11.71,Order block,4h,90212124
LINKUSDT,SELL,454.55,19.47,19.15,19.69,18.95,2026-06-22 21:15:00,2026-06-22 23:40:00,10.53,FVG,5m,90212162
BTCUSDT,SELL,0.1217,66276.3,63779.41,67097.74,64498.4,2026-06-22 12:05:00,2026-06-22 14:30:00,9.5,Liquidity sweep,15m,90212186
BTCUSDT,SELL,0.2316,65355.53,64314.11,65787.31,63984.37,2026-06-22 18:15:00,2026-06-22 20:40:00,18.02,Liquidity sweep,4h,90212208
SOLUSDT,SELL,57.8,145.18,142.1,146.91,140.56,2026-06-23 20:00:00,2026-06-23 22:25:00,9.96,BOS retest,4h,90212229
LINKUSDT,BUY,434.78,17.97,18.5,17.74,18.37,2026-06-24 15:15:00,2026-06-24 15:40:00,9.51,Liquidity sweep,5m,90212242
ETHUSDT,SELL,2.1133,3276.23,3322.91,3323.55,3196.31,2026-06-24 14:20:00,2026-06-24 15:20:00,8.37,FVG,5m,90212253
LINKUSDT,SELL,227.27,18.69,19.09,19.13,17.81,2026-06-25 07:00:00,2026-06-25 07:25:00,5.15,Liquidity sweep,15m,90212269
LINKUSDT,BUY,222.22,19.35,18.96,18.9,20.42,2026-06-25 06:20:00,2026-06-25 18:20:00,5.11,Breaker,1h,90212289
ETHUSDT,SELL,2.7152,3547.21,3625.5,3584.04,3457.03,2026-06-25 05:45:00,2026-06-25 06:10:00,11.69,FVG,1h,90212325
BTCUSDT,BUY,0.4061,59433.93,59214.11,59187.68,60161.46,2026-06-25 19:20:00,2026-06-26 00:20:00,28.91,Order block,5m,90212345
ETHUSDT,BUY,1.9944,3293.56,3247.57,3243.42,3391.01,2026-06-26 21:05:00,2026-06-26 21:30:00,7.83,BOS retest,15m,90212367
XRPUSDT,BUY,7299.27,0.7309,0.7167,0.7172,0.7712,2026-06-26 16:45:00,2026-06-27 04:45:00,6.34,Liquidity sweep,1h,90212375
BTCUSDT,SELL,0.2228,69727.66,70187.38,70176.5,68862.8,2026-06-27 23:30:00,2026-06-27 23:55:00,18.7,Order block,1h,90212382
LINKUSDT,BUY,476.19,17.98,17.8,17.77,18.37,2026-06-27 15:15:00,2026-06-27 20:15:00,10.22,BOS retest,15m,90212408
BTCUSDT,BUY,0.2613,65151.45,66098.61,64768.8,65820.27,2026-06-28 15:20:00,2026-06-28 15:45:00,20.58,FVG,15m,90212416
LINKUSDT,BUY,526.32,18.69,18.51,18.5,19.26,2026-06-28 13:15:00,2026-06-28 15:40:00,11.75,Order block,1h,90212431
LINKUSDT,BUY,333.33,18.83,19.79,18.53,19.36,2026-06-28 19:45:00,2026-06-28 20:45:00,7.72,Liquidity sweep,1h,90212463
LINKUSDT,BUY,357.14,18.42,18.91,18.14,19.06,2026-06-29 15:05:00,2026-06-29 17:30:00,8.0,Order block,1h,90212498
SOLUSDT,SELL,37.45,158.82,154.31,161.49,150.93,2026-06-29 12:20:00,2026-06-29 17:20:00,7.04,Breaker,15m,90212504
LINKUSDT,BUY,263.16,17.58,18.5,17.2,18.4,2026-06-30 14:20:00,2026-06-30 15:20:00,5.7,Order block,1h,90212508
BTCUSDT,BUY,0.152,65094.67,66279.14,64436.68,66628.69,2026-07-01 23:45:00,2026-07-02 00:45:00,11.98,Order block,4h,90212519
SOLUSDT,BUY,44.64,152.87,155.66,150.63,158.04,2026-07-01 04:05:00,2026-07-01 05:05:00,8.26,BOS retest,4h,90212530
ETHUSDT,SELL,4.4924,3343.3,3376.57,3365.56,3282.61,2026-07-01 13:15:00,2026-07-01 13:40:00,18.11,Order block,15m,90212556
BTCUSDT,BUY,0.2628,61203.3,61834.0,60822.83,62265.07,2026-07-01 20:05:00,2026-07-02 01:05:00,19.4,Liquidity sweep,1h,90212566
BTCUSDT,BUY,0.4194,66094.66,65858.86,65856.24,66654.65,2026-07-02 22:30:00,2026-07-02 22:55:00,33.2,Liquidity sweep,4h,90212589
ETHUSDT,SELL,1.7912,3441.78,3268.75,3497.61,3314.23,2026-07-03 07:30:00,2026-07-03 07:55:00,7.21,Liquidity sweep,1h,90212629
SOLUSDT,BUY,30.3,161.65,166.82,158.35,167.6,2026-07-03 22:15:00,2026-07-04 03:15:00,5.97,Breaker,4h,90212646
SOLUSDT,SELL,43.48,170.12,172.47,172.42,165.93,2026-07-03 14:45:00,2026-07-03 15:45:00,8.94,BOS retest,4h,90212653
ETHUSDT,BUY,2.3159,3273.73,3233.85,3230.55,3360.89,2026-07-03 13:05:00,2026-07-03 15:30:00,9.04,FVG,1h,90212669
LINKUSDT,SELL,250.0,18.48,18.84,18.88,17.57,2026-07-05 21:15:00,2026-07-05 22:15:00,5.6,BOS retest,15m,90212686
LINKUSDT,BUY,555.56,20.58,20.41,20.4,20.93,2026-07-06 14:20:00,2026-07-06 14:45:00,13.66,Order block,5m,90212720
BTCUSDT,SELL,0.1552,65684.4,66320.68,66328.54,64044.64,2026-07-06 15:30:00,2026-07-06 20:30:00,12.29,Order block,5m,90212730
ETHUSDT,BUY,3.3784,3467.71,3438.98,3438.11,3542.28,2026-07-07 06:30:00,2026-07-07 08:55:00,14.0,Order block,15m,90212749
XRPUSDT,BUY,5813.95,0.7232,0.7521,0.706,0.7768,2026-07-08 13:15:00,2026-07-08 13:40:00,5.15,Liquidity sweep,15m,90212766
BTCUSDT,BUY,0.1813,70315.81,71560.56,69764.12,71840.83,2026-07-08 23:30:00,2026-07-09 04:30:00,15.43,BOS retest,5m,90212787
BTCUSDT,BUY,0.3307,68211.39,68852.03,67909.03,68734.85,2026-07-08 06:20:00,2026-07-08 11:20:00,27.2,Liquidity sweep,5m,90212817
BTCUSDT,BUY,0.123,66605.75,67954.64,65792.43,67954.93,2026-07-10 12:15:00,2026-07-10 12:40:00,9.93,Liquidity sweep,5m,90212823
XRPUSDT,BUY,7462.69,0.7231,0.7557,0.7097,0.76,2026-07-10 23:00:00,2026-07-11 00:00:00,6.62,Order block,1h,90212841
BTCUSDT,BUY,0.1454,67184.29,65981.45,66496.63,69296.08,2026-07-10 03:45:00,2026-07-10 06:10:00,11.62,BOS retest,5m,90212856
SOLUSDT,BUY,26.74,168.2,176.2,164.46,178.24,2026-07-11 18:15:00,2026-07-11 18:40:00,5.53,Liquidity sweep,15m,90212864
BTCUSDT,BUY,0.333,70972.24,70697.4,70671.95,71623.67,2026-07-11 20:45:00,2026-07-12 01:45:00,28.31,BOS retest,5m,90212889
XRPUSDT,BUY,17543.86,0.7012,0.7131,0.6955,0.7143,2026-07-11 19:20:00,2026-07-12 00:20:00,14.89,BOS retest,15m,90212922
BTCUSDT,BUY,0.1675,69331.7,68729.95,68734.79,70774.93,2026-07-13 23:30:00,2026-07-13 23:55:00,13.88,Order block,4h,90212926
XRPUSDT,BUY,5649.72,0.7027,0.6864,0.685,0.7466,2026-07-14 16:20:00,2026-07-14 18:45:00,4.71,BOS retest,15m,90212954
BTCUSDT,SELL,0.3134,66704.2,66984.07,67023.28,66047.86,2026-07-14 05:15:00,2026-07-14 06:15:00,25.14,FVG,5m,90212972
ETHUSDT,BUY,4.0568,3635.43,3610.04,3610.78,3679.22,2026-07-14 07:30:00,2026-07-14 09:55:00,17.64,Liquidity sweep,1h,90213002
ETHUSDT,SELL,1.6181,3788.35,3661.45,3850.15,3603.0,2026-07-14 12:00:00,2026-07-14 13:00:00,7.23,BOS retest,15m,90213024
LINKUSDT,BUY,357.14,19.15,19.88,18.87,19.91,2026-07-15 05:05:00,2026-07-15 05:30:00,8.36,FVG,4h,90213056
BTCUSDT,BUY,0.1972,66825.16,66343.94,66318.09,68172.07,2026-07-15 14:20:00,2026-07-15 19:20:00,15.76,FVG,5m,90213063
ETHUSDT,BUY,2.2411,3336.99,3461.15,3292.37,3410.83,2026-07-15 03:05:00,2026-07-15 03:30:00,9.14,Liquidity sweep,1h,90213102
BTCUSDT,BUY,0.1322,63309.88,66017.4,62553.59,64817.27,2026-07-16 18:05:00,2026-07-16 18:30:00,10.26,Liquidity sweep,1h,90213115
ETHUSDT,SELL,2.9994,3456.03,3488.9,3489.37,3372.16,2026-07-17 13:00:00,2026-07-17 14:00:00,12.5,Breaker,1h,90213147
BTCUSDT,BUY,0.3307,74715.88,74057.55,74413.46,75624.33,2026-07-17 19:05:00,2026-07-17 19:30:00,29.52,Order block,4h,90213165
ETHUSDT,SELL,5.1813,3395.14,3413.54,3414.44,3356.22,2026-07-17 21:05:00,2026-07-17 23:30:00,21.17,Liquidity sweep,5m,90213197
ETHUSDT,SELL,1.6343,3707.46,3766.56,3768.65,3567.05,2026-07-17 22:15:00,2026-07-18 03:15:00,7.33,FVG,15m,90213229
BTCUSDT,SELL,0.1219,66957.74,67675.51,67778.19,65371.6,2026-07-18 05:00:00,2026-07-18 05:25:00,9.85,Breaker,5m,90213256
LINKUSDT,SELL,294.12,19.56,18.7,19.9,18.75,2026-07-18 22:30:00,2026-07-18 22:55:00,6.75,FVG,1h,90213295
LINKUSDT,BUY,322.58,18.36,18.08,18.05,19.04,2026-07-18 19:45:00,2026-07-18 20:10:00,7.05,Liquidity sweep,5m,90213323
ETHUSDT,SELL,1.9992,3255.84,3169.32,3305.86,3175.41,2026-07-19 20:00:00,2026-07-19 21:00:00,7.71,Liquidity sweep,15m,90213345
SOLUSDT,SELL,28.9,167.8,159.56,171.26,157.89,2026-07-19 04:20:00,2026-07-19 04:45:00,5.68,Order block,15m,90213353
ETHUSDT,BUY,2.6903,3478.64,3574.42,3441.47,3553.14,2026-07-19 18:05:00,2026-07-19 20:30:00,11.38,Liquidity sweep,1h,90213366
BTCUSDT,SELL,0.2924,72795.08,73103.57,73137.12,71777.1,2026-07-19 19:20:00,2026-07-19 21:45:00,25.6,BOS retest,4h,90213382
XRPUSDT,BUY,13333.33,0.7312,0.7235,0.7237,0.7527,2026-07-20 12:45:00,2026-07-20 13:10:00,11.64,Breaker,4h,90213412
SOLUSDT,SELL,32.36,185.91,180.34,189.0,177.36,2026-07-20 16:30:00,2026-07-20 16:55:00,7.11,BOS retest,1h,90213416
SOLUSDT,SELL,29.76,176.25,170.24,179.61,168.38,2026-07-20 14:45:00,2026-07-20 19:45:00,6.19,FVG,5m,90213422
BTCUSDT,SELL,0.2062,68440.74,67494.2,68925.65,67407.84,2026-07-20 15:05:00,2026-07-20 17:30:00,16.82,Breaker,5m,90213448
ETHUSDT,SELL,3.1114,3489.33,3438.05,3521.47,3418.85,2026-07-21 18:05:00,2026-07-21 18:30:00,12.93,Order block,4h,90213470
