ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
329802948,2026-03-09T13:47:07,2026-03-09T13:53:29,buy,0.04,0.04,BTCUSDm,69225.04,68940.48,68694.58,70747.12,,,-11.38,,,user
328655270,2026-03-06T16:12:40,2026-03-08T02:51:00,sell,0.04,0.04,BTCUSDm,68326.46,66807,68804.66,66807,,,60.78,,,tp
328056927,2026-03-06T05:22:51,2026-03-06T07:09:14,sell,0.03,0.03,XAUUSDm,5124.28,5109.0419999999995,5124.291,5089.838,,,45.71,,,user
328059880,2026-03-06T05:27:49,2026-03-06T06:43:45,sell,0.06,0.06,BTCUSDm,70360.77,70691.04000000001,70690.34,69334.75,,,-19.81,,,sl
327428012,2026-03-05T12:26:12,2026-03-05T13:16:57,sell,0.03,0.03,XAUUSDm,5164.709,5145.767,5170.463,5145.767,,,56.83,,,tp
323466429,2026-03-02T00:25:19,2026-03-02T00:53:03,buy,0.01,0.01,XAUUSDm,5365.204,5348.091,5348.091,5425.909,,,-17.11,,,sl
318617485,2026-02-23T06:30:17,2026-02-23T07:27:25,sell,0.01,0.01,XAUUSDm,5154.882,5133.049,5162.041,5124.816,,,21.83,,,user
317427229,2026-02-20T05:53:55,2026-02-20T09:17:57,buy,0.01,0.01,XAUUSDm,5007.434,5038.885,5004.357,5528.279,,,31.46,,,user
314244394,2026-02-16T17:15:08,2026-02-16T17:31:21,sell,0.03,0.03,BTCUSDm,67720.09,67978.03,67977.06,66706.43,,,-7.74,,,sl
314223793,2026-02-16T16:35:03,2026-02-16T16:44:59,sell,0.06,0.06,BTCUSDm,67616.37,67840.07,67836.25,66942.2,,,-13.42,,,sl
312256768,2026-02-13T05:37:01,2026-02-13T06:09:22,sell,0.01,0.01,XAUUSDm,4971.91,4956.911,4956.911,4921.71,,,15,,,sl
311964941,2026-02-12T19:30:28,2026-02-12T19:33:13,sell,0.01,0.01,XAUUSDm,4932.887,4943.7699999999995,4942.907,4902.26,,,-10.88,,,sl
310230424,2026-02-11T10:56:20,2026-02-11T12:49:03,buy,0.01,0.01,XAUUSDm,5095.913,5072.765,5042.612,5425.213,,,-23.14,,,user
305835989,2026-02-06T05:20:14,2026-02-06T05:35:19,buy,0.01,0.01,XAUUSDm,4830.891,4854.107,4836.376,4881.094,,,23.22,,,user
304796796,2026-02-05T11:40:24,2026-02-05T12:11:47,sell,0.01,0.01,XAUUSDm,4875.123,4841.129,4886.362,4834.417,,,33.99,,,user
304302977,2026-02-05T04:41:11,2026-02-05T05:23:06,sell,0.01,0.01,XAUUSDm,4877.799,4855.686,4854.317,4793.237,,,22.11,,,sl
302749745,2026-02-04T04:40:46,2026-02-04T05:35:48,buy,0.01,0.01,XAUUSDm,5072.63,5072.817,5072.817,5103.296,,,0.19,,,sl
302727162,2026-02-04T04:12:39,2026-02-04T04:24:10,buy,0.01,0.01,XAUUSDm,5071.505,5062.374,5062.374,5103.778,,,-9.14,,,sl
293455255,2026-01-28T17:56:01,2026-01-28T18:30:05,buy,0.01,0.01,XAUUSDm,5302.455,5302.559,5302.559,5362.89,,,0.1,,,sl
293369224,2026-01-28T16:49:08,2026-01-28T17:39:06,buy,0.01,0.01,XAUUSDm,5295.929,5292.609,5288.075,5356.772,,,-3.32,,,user
293165319,2026-01-28T15:00:02,2026-01-28T15:07:45,buy,0.01,0.01,XAUUSDm,5286.755,5269.356,5269.356,5347.095,,,-17.4,,,sl
292864635,2026-01-28T12:40:01,2026-01-28T13:36:07,buy,0.01,0.01,XAUUSDm,5270.234,5268.115,5268.115,5309.865,,,-2.11,,,sl
292846040,2026-01-28T12:25:09,2026-01-28T12:28:57,buy,0.01,0.01,XAUUSDm,5267.647,5260.156,5260.156,5308.23,,,-7.49,,,sl
291519210,2026-01-27T18:51:48,2026-01-27T19:28:03,buy,0.01,0.01,XAUUSDm,5094.535,5087.558,5075.022,5186.689,,,-6.98,,,user
291336689,2026-01-27T16:10:14,2026-01-27T16:31:48,buy,0.01,0.01,XAUUSDm,5092.52,5092.675,5092.675,5143.439,,,0.16,,,sl
289182097,2026-01-26T14:25:04,2026-01-26T15:20:23,buy,0.01,0.01,XAUUSDm,5076.257,5085.236,5085.236,5117.184,,,8.98,,,sl
288809917,2026-01-26T10:35:39,2026-01-26T11:18:05,buy,0.01,0.01,XAUUSDm,5093.279,5085.555,5085.555,5124.584,,,-7.72,,,sl
288715883,2026-01-26T09:30:34,2026-01-26T09:40:49,buy,0.01,0.01,XAUUSDm,5096.218,5088.96,5088.96,5136.948,,,-7.26,,,sl
287443883,2026-01-23T19:45:09,2026-01-23T20:07:42,buy,0.01,0.01,XAUUSDm,4978.906,4974.373,4974.373,5019.492,,,-4.54,,,sl
287379378,2026-01-23T18:15:12,2026-01-23T18:30:34,buy,0.01,0.01,XAUUSDm,4981.747,4974.862,4974.862,5007.218,,,-6.89,,,sl
286460274,2026-01-23T08:00:01,2026-01-23T08:25:29,sell,0.01,0.01,XAUUSDm,4942.862,4917.242,4921.659,4917.242,,,25.62,,,tp
285678127,2026-01-22T17:21:10,2026-01-22T18:08:35,buy,0.01,0.01,XAUUSDm,4881.551,4911.726,4905.795,4911.726,,,30.18,,,tp
285659209,2026-01-22T17:06:01,2026-01-22T17:08:49,buy,0.01,0.01,XAUUSDm,4883.149,4872.804,4873.207,4913.464,,,-10.35,,,sl
284881218,2026-01-22T06:20:31,2026-01-22T09:15:05,buy,0.01,0.01,XAUUSDm,4823.329,4833.228,4823.354,4853.787,,,9.9,,,user
284075814,2026-01-21T14:45:32,2026-01-21T15:02:45,sell,0.01,0.01,XAUUSDm,4860.547,4860.656,4860.308,4819.92,,,-0.11,,,sl
283949770,2026-01-21T13:55:25,2026-01-21T14:03:02,buy,0.01,0.01,XAUUSDm,4878.693,4869.695,4869.695,4908.984,,,-8.99,,,sl
282866301,2026-01-21T00:10:41,2026-01-21T01:02:36,buy,0.01,0.03,XAUUSDm,4776.368,4789.58,4776.397,4796.609,,,13.21,,,user
282866301,2026-01-21T00:10:41,2026-01-21T00:45:07,buy,0.02,0.03,XAUUSDm,4776.368,4784.905,4776.397,4796.609,,,17.07,,,user
282829226,2026-01-20T23:10:05,2026-01-20T23:36:59,sell,0.03,0.03,XAUUSDm,4759.63,4762.844,4762.844,4749.461,,,-9.64,,,sl
282754195,2026-01-20T18:41:44,2026-01-20T19:18:40,sell,0.01,0.01,XAUUSDm,4757.687,4762.856,4762.856,4741.786,,,-5.17,,,sl
281058926,2026-01-19T16:01:11,2026-01-20T00:26:01,buy,0.01,0.01,XAUUSDm,4674.299,4663.816,4663.816,4704.489,,,-10.48,,,sl
279732754,2026-01-16T16:50:55,2026-01-16T18:28:07,sell,0.01,0.01,XAUUSDm,4585.651,4591.19,4591.19,4553.753,,,-5.54,,,sl
276003117,2026-01-14T03:37:01,2026-01-14T05:57:25,buy,0.01,0.01,XAUUSDm,4623.108,4624.902,4624.902,4653.706,,,1.79,,,sl
274753464,2026-01-13T05:25:03,2026-01-13T05:31:07,buy,0.02,0.02,XAUUSDm,4598.676,4594.216,4594.216,4613.889,,,-8.92,,,sl
274727393,2026-01-13T04:46:31,2026-01-13T05:05:36,buy,0.02,0.02,XAUUSDm,4598.646,4596.033,4596.033,4614.052,,,-5.22,,,sl
274424832,2026-01-12T19:10:38,2026-01-12T20:01:24,buy,0.02,0.02,XAUUSDm,4613.269,4608.461,4608.461,4628.363,,,-9.62,,,sl
274310541,2026-01-12T16:33:27,2026-01-12T17:18:18,sell,0.02,0.02,XAUUSDm,4619.947,4618.742,4618.742,4604.163,,,2.41,,,sl
272820999,2026-01-09T19:15:30,2026-01-11T23:03:32,buy,0.02,0.02,XAUUSDm,4498.018,4518.057,4498.039,4513.089,,,40.07,,,tp
272758850,2026-01-09T17:45:06,2026-01-09T18:34:47,sell,0.01,0.01,XAUUSDm,4501.058,4500.692,4510.597,4465.361,,,0.37,,,user
272317711,2026-01-09T12:55:02,2026-01-09T13:00:01,sell,0.02,0.02,XAUUSDm,4464.105,4468.661,4468.661,4449.103,,,-9.11,,,sl
271551984,2026-01-08T16:55:54,2026-01-08T18:05:02,buy,0.01,0.01,XAUUSDm,4461.52,4457.483,4457.483,4476.788,,,-4.04,,,sl
271289543,2026-01-08T13:55:39,2026-01-08T14:32:56,sell,0.01,0.01,XAUUSDm,4424.194,4431.931,4431.931,4402.502,,,-7.74,,,sl
269202672,2026-01-06T19:05:47,2026-01-06T19:24:34,sell,0.02,0.02,XAUUSDm,4485.301,4483.401,4489.561,4475.315,,,3.8,,,user
267232532,2026-01-05T09:19:27,2026-01-05T10:02:51,buy,0.01,0.01,XAUUSDm,4431.841,4431.927,4431.927,4463.254,,,0.09,,,sl
265022618,2025-12-31T16:06:08,2025-12-31T17:36:23,sell,0.01,0.01,XAUUSDm,4329.193,4329.148,4329.148,4298.717,,,0.04,,,sl
264983116,2025-12-31T15:26:44,2025-12-31T15:38:56,buy,0.01,0.01,XAUUSDm,4334.897,4336.093,4336.093,4350.052,,,1.19,,,sl
264979118,2025-12-31T15:22:17,2025-12-31T15:27:48,sell,0.01,0.01,XAUUSDm,4327.716,4336.427,4336.427,4311.744,,,-8.71,,,sl
264817737,2025-12-31T13:05:40,2025-12-31T13:21:10,sell,0.01,0.01,XAUUSDm,4312.518,4317.286,4317.286,4291.769,,,-4.77,,,sl
264569211,2025-12-31T08:15:56,2025-12-31T09:21:57,sell,0.01,0.01,XAUUSDm,4323.83,4318.645,4318.645,4293.079,,,5.18,,,sl
263734179,2025-12-30T14:30:03,2025-12-30T14:32:16,buy,0.01,0.01,XAUUSDm,4390.398,4383.091,4384.386,4410.756,,,-7.31,,,sl
263416061,2025-12-30T09:30:26,2025-12-30T10:15:02,sell,0.01,0.01,XAUUSDm,4368.366,4376.754,4376.754,4338.309,,,-8.38,,,sl
263288879,2025-12-30T07:46:56,2025-12-30T08:02:01,buy,0.01,0.01,XAUUSDm,4376.644,4367.499,4367.499,4407.561,,,-9.14,,,sl
262337654,2025-12-29T13:15:12,2025-12-29T13:43:07,sell,0.01,0.01,XAUUSDm,4457.967,4427.4619999999995,4460.328,4424.89,,,30.51,,,user
261792347,2025-12-29T06:00:51,2025-12-29T06:46:29,sell,0.01,0.01,XAUUSDm,4506.455,4483.362,4518.067,4469.91,,,23.1,,,user
261101912,2025-12-26T18:45:45,2025-12-28T23:34:48,buy,0.01,0.01,XAUUSDm,4529.329,4536.954,4515.666,4580.085,,,7.62,,,user
260744045,2025-12-26T14:04:35,2025-12-26T14:12:06,buy,0.01,0.01,XAUUSDm,4526.413,4523.318,4522.383,,,,-3.09,,,user
260597191,2025-12-26T12:03:10,2025-12-26T12:29:02,buy,0.01,0.01,XAUUSDm,4509.939,4511.888,4504.456,4525.585,,,1.95,,,user
260415053,2025-12-26T09:00:07,2025-12-26T09:52:40,buy,0.01,0.01,XAUUSDm,4519.808,4512.841,4512.841,,,,-6.97,,,sl
259494559,2025-12-24T14:40:54,2025-12-24T14:41:32,sell,0.01,0.01,XAUUSDm,4470.834,4474.594,4474.594,4322.437,,,-3.76,,,sl
257980377,2025-12-23T10:16:28,2025-12-23T13:22:28,buy,0.01,0.01,XAUUSDm,4484.444,4490.25,4484.534,4515.984,,,5.81,,,user
255702322,2025-12-19T15:35:35,2025-12-19T18:01:43,buy,0.01,0.01,XAUUSDm,4342.489,4353.04,4336.368,4359,,,10.55,,,user
254470011,2025-12-18T14:07:35,2025-12-18T14:29:26,buy,0.01,0.01,XAUUSDm,4339.435,4332.637,4332.637,4370.857,,,-6.8,,,sl
253994547,2025-12-18T05:15:04,2025-12-18T08:04:41,buy,0.01,0.01,XAUUSDm,4337.103,4328.063,4328.063,4539.934,,,-9.04,,,sl
253692482,2025-12-17T17:38:07,2025-12-17T18:44:08,sell,0.01,0.01,BTCUSDm,86716.29,85964.59,86710.97,85515.86,,,7.51,,,user
253492775,2025-12-17T14:59:31,2025-12-17T15:07:53,buy,0.01,0.01,XAUUSDm,4339.576,4343.896,4313.913,4490.909,,,4.32,,,user
253234900,2025-12-17T12:17:54,2025-12-17T12:50:23,buy,0.01,0.01,XAUUSDm,4318.697,4315.871,4315.871,4341.324,,,-2.83,,,sl
252923211,2025-12-17T06:39:56,2025-12-17T06:46:19,sell,0.01,0.01,XAUUSDm,4327.358,4330.318,4330.887,4305.099,,,-2.96,,,user
252527026,2025-12-16T18:20:01,2025-12-16T18:31:13,sell,0.01,0.01,XAUUSDm,4299.962,4305.121,4305.121,4279.964,,,-5.16,,,sl
252414662,2025-12-16T16:15:49,2025-12-16T16:25:23,sell,0.01,0.01,XAUUSDm,4312.872,4312.722,4312.722,4298.023,,,0.15,,,sl
251975037,2025-12-16T10:46:59,2025-12-16T10:47:38,buy,0.01,0.01,XAUUSDm,4281.544,4278.035,4278.418,,,,-3.5,,,sl
251325142,2025-12-15T18:33:40,2025-12-15T20:20:25,buy,0.01,0.01,XAUUSDm,4307.017,4307.018,4307.018,4324.389,,,,,,sl
250822557,2025-12-15T12:30:07,2025-12-15T13:02:25,buy,0.01,0.01,XAUUSDm,4347.169,4342.186,4342.186,4357.31,,,-4.98,,,sl
250755471,2025-12-15T11:01:18,2025-12-15T11:48:49,sell,0.01,0.01,XAUUSDm,4337.652,4342.634,4342.634,4322.552,,,-4.98,,,sl
250712443,2025-12-15T10:20:06,2025-12-15T10:29:54,buy,0.01,0.01,XAUUSDm,4344.53,4342.312,4342.312,4364.616,,,-2.22,,,sl
250695702,2025-12-15T09:57:05,2025-12-15T10:00:32,buy,0.01,0.01,XAUUSDm,4344.83,4342.231,4342.231,4369.396,,,-2.6,,,sl
250400134,2025-12-15T05:30:11,2025-12-15T06:04:49,buy,0.01,0.01,XAUUSDm,4330.509,4343.981,4340.965,4351.246,,,13.47,,,user
250332652,2025-12-15T04:08:00,2025-12-15T04:32:18,buy,0.01,0.01,XAUUSDm,4328.557,4325.742,4325.742,4345.736,,,-2.82,,,sl
249739910,2025-12-12T17:40:26,2025-12-12T18:47:04,buy,0.01,0.01,XAUUSDm,4290.515,4290.622,4290.622,4314.477,,,0.1,,,sl
249404812,2025-12-12T14:36:38,2025-12-12T15:15:01,buy,0.01,0.01,BTCUSDm,92480.93,91994.99,91867.65,93487.89,,,-4.86,,,user
249340580,2025-12-12T13:50:18,2025-12-12T13:55:01,sell,0.01,0.01,XAUUSDm,4336.263,4337.976,4340.414,4326.684,,,-1.72,,,user
249041432,2025-12-12T09:45:13,2025-12-12T10:20:50,buy,0.01,0.01,XAUUSDm,4311.904,4318.087,4314.621,4331.945,,,6.19,,,user
248972255,2025-12-12T09:00:25,2025-12-12T09:10:07,buy,0.01,0.01,XAGUSDm,64.029,64.068,63.587,65.241,,,1.95,,,user
247148162,2025-12-10T20:02:04,2025-12-10T20:16:27,buy,0.01,0.01,XAUUSDm,4214.479,4235.1140000000005,4210.306,4244.672,,,20.63,,,user
246926134,2025-12-10T16:01:10,2025-12-10T16:46:32,sell,0.06,0.06,GBPAUDm,2.00705,2.00837,,2.00318,,,-5.26,,,user
242688338,2025-12-05T15:17:10,2025-12-05T15:33:37,buy,0.01,0.01,XAUUSDm,4240.852,4253.396,4236.474,4255.908,,,12.55,,,user
242625177,2025-12-05T14:41:33,2025-12-05T15:02:13,sell,0.01,0.01,BTCUSDm,90150.27,90651.95,90651.95,87692.5,,,-5.02,,,sl
241623712,2025-12-04T15:49:42,2025-12-04T17:43:26,sell,0.01,0.01,BTCUSDm,92764.33,91946.78,93328.21,87712.93,,,8.17,,,user
241551169,2025-12-04T15:01:07,2025-12-04T15:39:41,sell,0.01,0.01,BTCUSDm,92095.66,93236.36,93230.84,87702.13,,,-11.4,,,sl
240976288,2025-12-04T07:30:26,2025-12-04T07:32:00,sell,0.04,0.04,XAUUSDm,4189.642,4189.49,4192.287,4173.689,,,0.61,,,user
240751682,2025-12-04T04:15:04,2025-12-04T04:52:15,buy,0.04,0.04,XAUUSDm,4197.664,4195.118,4195.118,4213.407,,,-10.19,,,sl
239533634,2025-12-03T07:22:18,2025-12-03T07:33:23,sell,0.03,0.03,XAUUSDm,4206.08,4201.794,4203.705,4199.297,,,12.86,,,user
239383953,2025-12-03T05:27:03,2025-12-03T07:16:09,buy,0.01,0.01,BTCUSDm,93375.96,93094.72,93096.59,95951.6,,,-2.81,,,sl
212727055,2025-11-10T03:36:52,2025-11-12T14:15:25,buy,0.01,0.01,XAUUSDm,4051.618,4135.235,4010.041,4361.064,,,83.62,,,user
212082035,2025-11-08T15:51:52,2025-11-08T16:00:43,sell,0.05,0.05,BTCUSDm,101643.93,101718.55,101747.57,101102.81,,,-3.73,,,user
212048922,2025-11-08T14:00:20,2025-11-08T14:30:24,sell,0.05,0.05,BTCUSDm,101756.92,101754.97,101754.63,101141.87,,,0.1,,,sl
212004846,2025-11-08T11:15:25,2025-11-08T11:50:50,buy,0.12,0.12,BTCUSDm,102539.07,101903.26000000001,101793.1,,,,-76.3,,,user
207753512,2025-11-05T00:35:06,2025-11-05T01:21:35,sell,0.04,0.04,BTCUSDm,100737.78,99579.39,100414.93,99579.39,,,46.33,,,tp
202406520,2025-10-30T17:04:38,2025-10-30T17:12:54,buy,0.03,0.03,XAUUSDm,4002.5,3996.527,3996.527,4022.839,,,-17.92,,,sl
202121431,2025-10-30T13:47:13,2025-10-30T13:57:22,buy,0.01,0.01,XAUUSDm,3978.313,3993.592,3974.948,,,,15.28,,,user
202082183,2025-10-30T13:30:29,2025-10-30T13:32:14,sell,0.01,0.01,XAUUSDm,3967.623,3978.856,3978.856,,,,-11.24,,,sl
202038239,2025-10-30T13:01:49,2025-10-30T13:04:35,sell,0.01,0.01,XAUUSDm,3966.242,3974.664,3974.664,,,,-8.42,,,sl
202034174,2025-10-30T13:00:07,2025-10-30T13:04:34,sell,0.01,0.01,XAUUSDm,3962.123,3974.7329999999997,3974.156,3921.135,,,-12.61,,,sl
201673021,2025-10-30T08:41:04,2025-10-30T09:02:38,buy,0.03,0.03,XAUUSDm,3972.309,3984.027,3968.084,3993.359,,,35.15,,,user
201602838,2025-10-30T07:35:24,2025-10-30T08:17:07,sell,0.01,0.01,XAUUSDm,3959.582,3969.859,3969.859,3929.009,,,-10.28,,,sl
201605897,2025-10-30T07:37:11,2025-10-30T08:00:29,sell,0.02,0.02,XAUUSDm,3964.314,3964.682,3964.303,3949.482,,,-0.73,,,sl
201549642,2025-10-30T06:56:30,2025-10-30T07:35:05,buy,0.01,0.01,XAUUSDm,3969.932,3960.904,3955.98,,,,-9.03,,,user
199562128,2025-10-29T01:30:25,2025-10-29T02:35:23,sell,0.02,0.02,XAUUSDm,3973.88,3950.943,3980.322,3950.943,,,45.87,,,tp
198671051,2025-10-28T09:56:34,2025-10-28T11:47:38,buy,0.07,0.07,BTCUSDm,114551.27,114401.45,114401.45,114994.16,,,-10.49,,,sl
198085972,2025-10-28T03:50:58,2025-10-28T04:05:05,buy,0.02,0.02,XAUUSDm,3991.704,3989.922,3986.3,4007.242,,,-3.57,,,user
196830199,2025-10-27T08:34:34,2025-10-27T08:53:23,sell,0.01,0.01,XAUUSDm,4060.997,4041.619,4071.241,,,,19.38,,,user
196525347,2025-10-27T04:40:55,2025-10-27T04:53:45,sell,0.02,0.02,XAUUSDm,4059.643,4065.969,4065.969,,,,-12.65,,,sl
186055149,2025-10-17T04:31:03,2025-10-17T04:58:30,buy,0.03,0.03,XAUUSDm,4361.561,4372.5470000000005,4362.613,,,,32.96,,,user
185523671,2025-10-16T19:11:40,2025-10-16T19:16:57,buy,0.03,0.03,XAUUSDm,4294.673,4287.969,4287.969,4314.808,,,-20.11,,,sl
182890377,2025-10-15T06:45:11,2025-10-15T08:03:32,buy,0.03,0.03,XAUUSDm,4194.502,4209.045,4194.551,4213.141,,,43.63,,,user
182285100,2025-10-14T16:50:18,2025-10-14T16:59:15,buy,0.01,0.01,XAUUSDm,4150.09,4141.996,4141.597,,,,-8.09,,,user
182114286,2025-10-14T14:30:07,2025-10-14T14:35:53,buy,0.01,0.01,XAUUSDm,4131.821,4131.252,4126.566,,,,-0.57,,,user
181724038,2025-10-14T10:26:12,2025-10-14T10:54:00,buy,0.01,0.01,XAUUSDm,4138.165,4135.6140000000005,4127.091,4174.783,,,-2.56,,,user
181634602,2025-10-14T09:15:15,2025-10-14T09:47:15,buy,0.01,0.01,XAUUSDm,4141.152,4130.241,4130.241,,,,-10.91,,,sl
181614449,2025-10-14T08:57:50,2025-10-14T09:09:20,buy,0.01,0.01,XAUUSDm,4142.936,4134.986,4134.986,4167.062,,,-7.95,,,sl
181032321,2025-10-14T02:56:08,2025-10-14T03:27:42,buy,0.04,0.04,XAUUSDm,4148.523,4158.724,4145.048,4166.985,,,40.81,,,user
180903518,2025-10-14T01:07:03,2025-10-14T01:15:42,buy,0.02,0.02,XAUUSDm,4129.105,4140.957,4129.221,,,,23.7,,,user
180735372,2025-10-13T18:26:23,2025-10-13T18:30:21,buy,0.07,0.07,XAUUSDm,4106.573,4103.239,4103.239,4123.339,,,-23.34,,,sl
178019817,2025-10-10T10:28:09,2025-10-10T11:45:50,buy,0.02,0.02,XAUUSDm,3996.939,3989.88,3989.88,4056.768,,,-14.12,,,sl
177952685,2025-10-10T09:29:26,2025-10-10T09:49:39,buy,0.05,0.05,XAUUSDm,3996.355,4002.282,4002.282,4012.849,,,29.63,,,sl
176709178,2025-10-09T13:00:06,2025-10-09T13:40:20,buy,0.01,0.01,XAUUSDm,4054.242,4041,4041,,,,-13.24,,,sl
176273910,2025-10-09T05:35:23,2025-10-09T05:41:43,buy,0.04,0.04,XAUUSDm,4041.261,4036.073,4036.073,4056.881,,,-20.75,,,sl
175376159,2025-10-08T12:01:38,2025-10-08T12:07:43,buy,0.1,0.1,XAUUSDm,4038.46,4044.4390000000003,4038.495,4049.143,,,59.79,,,user
169594894,2025-10-02T09:56:48,2025-10-02T12:06:35,buy,0.06,0.06,XAUUSDm,3878.481,3890,3875.093,3890,,,69.11,,,tp
169318999,2025-10-02T05:10:35,2025-10-02T05:35:44,buy,0.07,0.07,XAUUSDm,3868.006,3866.8630000000003,3865.231,,,,-8,,,user
168225823,2025-10-01T07:15:19,2025-10-01T07:53:28,buy,0.05,0.05,XAUUSDm,3866.431,3879.341,3873.289,,,,64.55,,,user
168194769,2025-10-01T06:47:37,2025-10-01T06:58:14,buy,0.04,0.04,XAUUSDm,3864.991,3858.313,,3880.229,,,-26.71,,,user
168081023,2025-10-01T04:55:40,2025-10-01T06:18:24,buy,0.04,0.04,XAUUSDm,3863.299,3857.224,3857.224,,,,-24.3,,,sl
168029456,2025-10-01T03:45:18,2025-10-01T04:09:04,buy,0.04,0.04,XAUUSDm,3864.084,3859.231,3859.231,3879.365,,,-19.42,,,sl
167726670,2025-09-30T17:10:15,2025-09-30T17:46:56,buy,0.07,0.07,XAUUSDm,3846.131,3843.609,3843.609,3853.708,,,-17.66,,,sl
166753064,2025-09-30T05:15:12,2025-09-30T06:18:36,buy,0.08,0.08,XAUUSDm,3866.557,3863.822,3863.822,3874.353,,,-21.88,,,sl
